id,email,signup_date,plan,region
249,laurenrodriguez@example.com,2024/01/09,starter,台北 
250,xvalencia@example.org,2024-12-24,pro,新竹
251,,2023-10-16,enterprise,Taipei
252,,2024-11-22,starter,台中市
253,alvin02@example.org,2024-11-19,starter,高雄
254, deancraig@example.com ,2024-12-18,pro,台中 
255,bonillapenny@example.org,2023年06月25日,pro,台中市
256,oevans@example.org,2024-10-21,enterprise,台北
257,theresa83@example.net,2023/12/22,enterprise,台北 
258,rlyons@example.org,2024-04-28,PRO,taichung 
259,,2024-07-08,pro,新竹
260,rita49@example.org,2024-09-25,enterprise,新竹
261,michael46@example.com,2024年05月08日,starter,Taipei
262,ogutierrez@example.net,2024/02/04,starter,台南
263,  YOUNGDAVID@EXAMPLE.ORG,2024-06-02,pro,台南
264,,2023-12-07,starter,台中
265,amandaharrison@example.com,2024-03-13,Enterprise,Kaohsiung
266,,2024-10-25,enterprise, 高雄
267,sarahmann@example.org,2024-03-20,pro,Hsinchu
268,,2024-08-01,pro,台北
269,edwardking@example.com,2024-08-06,enterprise,台中
270,bryantrebekah@example.com,2024/01/21,enterprise,台中
271,brandonbrown@example.org,2024-11-22,pro,高雄
272,tabitha87@example.net,2023-12-22,pro,新竹
273,butlerdaniel@example.net,2024/08/04,enterprise,taichung 
274,david90@example.net,2024/05/25,pro,Taipei
275,,2023-11-30,pro,台南
276,lgill@example.com,2024/04/09,enterprise,台中
277,wlindsey@example.net,2024/03/29,pro,新竹
278,ann07@example.com,2024/06/10,enterprise,台南
279,,2023-11-22,starter,台中
280,tammy31@example.net,2024-09-16,starter,新竹
281,Christopher91@Example.Com ,2024-02-22,pro,高雄 
282,brent02@example.org,2023年09月27日,enterprise,Taipei
283,,2023-09-14,pro,新竹
284,kelleymisty@example.com,2024-06-12,pro,台南
471,jessica04@example.com,2023-12-23,ENTERPRISE,Tainan
286,ipayne@example.com,2024-06-11,starter,臺中
287,scottchristopher@example.com,2024-12-27,starter,台中
288,caitlynrobbins@example.net,2023/11/13,pro,台南
289,mcclurekevin@example.org,2024年08月01日,starter,taipei
290,,2024-07-03,enterprise,hsinchu
291, gonzalezcheyenne@example.org ,2024-08-03,pro, 新竹
292,dhartman@example.net,2023-11-28,enterprise,台北 
293,,2024-12-17,starter,台南
294, gharris@example.org ,2023-10-17,starter,台北
295,,2023-12-20,enterprise,台南
296,,2024-09-18,enterprise,台南
297,jgarcia@example.com,2023-11-22,ENTERPRISE, 新竹
298,john81@example.com,2023/01/08,starter,新竹
299,stevendoyle@example.org,2024-04-27,enterprise,台北
300,andrew46@example.com,2024-10-03,starter,新竹
301,,2024-11-12,enterprise,台中
302,hicksmichelle@example.net,2023/11/29,enterprise,台北
303,,2024-11-05,starter,台南
304, nicholsralph@example.org ,2024-03-01,pro,Hsinchu
305,Jacob35@Example.Org ,2023-07-22,starter,台北
306,,2024-10-05,enterprise,台中
307,amanda83@example.com,2023-02-05,starter, 新竹
308,hernandezjamie@example.net,2023-09-30,STARTER,台中
309,,2024-04-15,starter,台北
310,,2024-03-23,enterprise,台北
311,simsjose@example.net,2024-11-21,starter,台北
312,imiller@example.com,2024-10-09,enterprise,新竹
313,,2023-12-26,pro,台南
262,ogutierrez@example.net,2024/02/04,starter,台南
315,Pparker@Example.Org ,2024-12-05,starter,高雄
316,,2024-09-16,starter,高雄
317,,2024-07-19,starter,高雄
318,,2023-09-09,enterprise,臺南
319,,2024-05-24,enterprise,hsinchu
320,solomonshawna@example.org,2023-10-28,enterprise,taichung 
321,,2023-03-12,starter,高雄
322,,2024-05-30,enterprise,高雄
323,catherinedavidson@example.org,2023-02-28,pro,台南
324,,2023-11-08,enterprise,台北
325,,2023-06-25,enterprise,台南
326,ywhite@example.com,2024/06/23,starter,台北
327,,2023-03-09,pro,臺南
328,Kevinbond@Example.Org ,2024-12-21,pro,台中
329,jordanallison@example.org,2024年06月17日,enterprise,台南
330,qhale@example.org,2023/07/10,enterprise,新竹
331,joseph23@example.net,2024-12-27,Starter,高雄
332,,2023-09-27,enterprise,hsinchu
333,samanthapatterson@example.com,2023-12-18,pro, 高雄
334,,2024-01-24,enterprise,台北
335,olsoncharles@example.com,2024/04/07,pro,taichung 
336,weberjessica@example.net,2024-03-03,pro,高雄
337,,2024-02-09,pro,高雄
338,lutzdavid@example.com,2024-08-26,STARTER,高雄
339,Bryan06@Example.Org ,2024-12-05,starter,高雄 
340, ibrown@example.org ,2024-03-09,starter, 高雄
387,ischroeder@example.net,2024-05-05,starter,Tainan
342,,2023-09-01,enterprise,高雄
343,,2024-03-07,pro,台南
344,,2024-08-26,pro,台北
345,deborahwest@example.org,2023年04月26日,starter,高雄市
346,vernonroberts@example.com,2023-12-02,pro,tainan
347,,2024-10-26,pro,台中市
348,  MARGARET03@EXAMPLE.ORG,2024-10-12,pro,新竹
349,lisawood@example.org,2024年09月05日,pro,高雄
350,anthonyburgess@example.com,2023-09-09, pro ,台中
351,gilbertbarker@example.net,2024-08-10,starter,台中
352,leewilliam@example.com,2024年05月30日,pro,台北
353,joshuahart@example.com,2024-04-08, enterprise ,Kaohsiung
354,angela05@example.org,2024/01/25,enterprise,新竹
355,wpotter@example.org,2024-06-30,enterprise,台南
356,thomasjohn@example.com,2023/11/28,enterprise,新竹
357,rtaylor@example.net,2024-06-21,starter,台南
358,cody68@example.com,2023-06-06, pro ,高雄
359,ricardo28@example.com,2024年06月16日,enterprise,台北
360,,2023-06-29,starter,台中
361,,2023-09-03,starter,台中
362,,2024-05-02,pro,高雄市
363,amber47@example.net,2023/12/01,starter, 新竹
364,ecarroll@example.com,2023/06/19,starter, 高雄
365,,2024-05-06,starter,台北
366,teresa95@example.com,2023-05-07,pro,高雄市
367,Amoore@Example.Com ,2023-07-15,pro,新竹
368,ashley92@example.com,2024-10-07,pro,台中 
369, fbowman@example.net ,2023-12-09,enterprise,台北
370,thomasjason@example.net,2024/03/16,enterprise,高雄
371,jennagonzalez@example.org,2023-07-12,pro,Hsinchu
372,Rwhite@Example.Com ,2023-08-02,starter,新竹 
373,  JUSTIN12@EXAMPLE.ORG,2024-10-26,enterprise,台中
374,marydominguez@example.org,2023/08/12,starter,台北市
375,  GPITTS@EXAMPLE.ORG,2024-10-24,enterprise,台中
376,cohenmelissa@example.org,2024-08-30,starter,高雄
377,,2023-05-25,starter,台南
378,william07@example.org,2023-08-14,starter,新竹市
379,gscott@example.net,2024年08月16日,pro,taipei
380,aaronsmith@example.com,2024/11/18,enterprise,台南
381,upatterson@example.net,2024-10-20,enterprise,新竹市
382,,2024-06-11,enterprise,tainan
383,,2024-06-06,pro,台北
384,meganconner@example.net,2023-05-09, enterprise ,台中
385,,2024-08-18,pro,新竹
386,,2024-08-15,pro,台南
387,ischroeder@example.net,2024-05-05,starter,Tainan
388,,2023-02-23,enterprise,台北
389,,2024-08-03,enterprise,台中 
390,caitlinflores@example.org,2024-07-23,pro,台南
391,heather71@example.org,2024-08-10,starter,Tainan
392,kcarroll@example.net,2023-11-22,pro,台中
393,maxwelljessica@example.com,2024-03-01,enterprise,新竹
187,worozco@example.net,2024/11/16,pro,高雄
395,lee28@example.org,2024-06-17,Pro,Taipei
396,qholder@example.com,2024-10-09,pro,台南
397,stonematthew@example.org,2024-09-19,enterprise,新竹 
398,elizabeth10@example.org,2024/03/14,pro,Taipei
399,hmelendez@example.net,2024-12-08,enterprise,台北
400,xwalker@example.org,2024/10/10,pro,台北
401,paul13@example.com,2024-12-04, pro ,台中
402,kevinhorton@example.net,2024/07/27,starter,高雄
403,,2024-06-14,pro,台北
404,jill74@example.org,2024-09-16,starter,Taichung
405,,2024-02-01,pro,臺南
406, stewartnicholas@example.net ,2023-11-21,starter,Taichung
407,,2024-10-12,pro,Taichung
408,brianross@example.org,2024年05月11日,starter,台北
409, yroth@example.org ,2024-07-06,pro,台南市
410,,2024-10-16,enterprise,高雄
411,jamiewalker@example.net,2024-10-09,pro, 台南
412,whitney34@example.net,2024/06/27,pro,高雄
413,  APRIL20@EXAMPLE.NET,2023-09-07,enterprise,台北
414,floresjessica@example.org,2023年08月09日,starter,台北
415,stevehays@example.org,2024/08/20,enterprise,台北
416,gzimmerman@example.com,2024/05/26,pro, 高雄
417,roseadrian@example.org,2024-02-01,PRO,hsinchu
418, heather97@example.org ,2024-05-03,enterprise,台南
419,,2024-07-25,starter,台南
420,,2023-05-23,starter,hsinchu
421,melindarice@example.org,2024年03月31日,enterprise,新竹市
422,,2024-07-02,pro,hsinchu
423,austin68@example.net,2023-07-08, starter , 高雄
424,,2024-04-29,starter,台北
425,brownjames@example.com,2024-07-03,ENTERPRISE,台中
426,toddkimberly@example.org,2024/10/09,pro,台北
427,chavezmanuel@example.net,2024/01/20,starter,台北
428,wilkinsjeffrey@example.com,2024-03-14,pro,台北
429,,2024-10-09,enterprise,Tainan
430,,2024-02-22,pro,台中
431,jessica24@example.org,2024-09-12,STARTER,新竹 
432,amanda56@example.org,2024年09月11日,starter,新竹
433,Isabellawilliams@Example.Org ,2023-08-10,pro,台南
434,,2024-09-29,pro,台北
435,juan00@example.org,2024-12-08,Pro,taichung 
436,Kristarios@Example.Net ,2024-08-03,starter,Tainan
437,richardsonvalerie@example.com,2023-11-25,pro,hsinchu
438,,2023-11-21,starter,新竹
439,,2024-12-09,starter,台中
440,fisherjoy@example.net,2024/04/28,starter,高雄市
441,,2024-03-24,starter, 台北
442,anthonygeorge@example.org,2023-04-13,enterprise, 新竹
443,,2024-06-19,enterprise,台南
444,,2024-11-30,pro,高雄
53,,2024-12-10,pro,新竹
446,  SARAHALI@EXAMPLE.COM,2024-01-20,enterprise,Tainan
447,,2024-12-21,starter,高雄
448,thompsonmatthew@example.com,2024年11月13日,enterprise,hsinchu
449,ranthony@example.org,2023年06月23日,pro,Hsinchu
450,  QROACH@EXAMPLE.COM,2024-09-05,enterprise,台南
451,,2024-03-19,starter,臺南
452,Mguerra@Example.Com ,2024-01-17,pro,台中
453,pittmanjoseph@example.org,2024-08-11,Starter,台南
454,  BERNARDGONZALEZ@EXAMPLE.ORG,2023-06-04,pro,高雄
455,,2023-10-10,enterprise,新竹
456,dscott@example.com,2024-03-23,starter,台中
457,,2024-06-22,enterprise,新竹
458,andrewsbecky@example.com,2023-08-30, pro ,台南
459,,2023-02-15,enterprise,台南
460,carrraymond@example.net,2024-11-14,starter,台北
461,rcross@example.com,2023-12-30,starter,台北
462,dawnweaver@example.net,2024/04/08,starter,臺中
463,bowmanluis@example.net,2024-06-08,pro,高雄 
464,,2024-06-03,enterprise,臺北
465,,2024-09-30,pro, 新竹
466,,2024-08-19,enterprise,台南
467,lshepherd@example.org,2023年09月07日,pro,台南
468,johnsonsarah@example.net,2024/08/16,pro,台北市
469,,2024-12-22,pro,台北
470,jacqueline35@example.net,2023年11月18日,enterprise,高雄
471,jessica04@example.com,2023-12-23,ENTERPRISE,Tainan
472,ihinton@example.net,2024年12月26日,enterprise,新竹
473,,2023-09-12,enterprise,台南
474,woneal@example.org,2024-10-31,starter,hsinchu
475,kingbrandon@example.com,2023年09月05日,starter,台南市
476,iandrade@example.org,2024/10/14,starter, 新竹
477,fcollins@example.com,2023年11月21日,pro,新竹
478,dorseyjenny@example.com,2024-03-15,pro,Tainan
479,ellisjoyce@example.com,2024-02-13,pro,高雄市
480,,2024-08-29,pro,Kaohsiung
481,justinrocha@example.com,2023-02-15,ENTERPRISE,高雄
482,guerrerojames@example.net,2023-06-22,pro,高雄
483,hollowaykimberly@example.net,2024/06/17,starter,臺南
484,milleralexander@example.com,2023年10月18日,enterprise,台北
485,,2024-12-29,pro,高雄
486,,2024-01-17,starter,高雄
487, peter23@example.org ,2023-05-27,pro,高雄市
488,vtorres@example.org,2024-07-02,Pro,台南
489,meredithmcdaniel@example.com,2024-07-04,starter,新竹
490,,2023-12-22,starter,臺南
491,,2023-12-06,pro,新竹市
492,dfinley@example.net,2024-07-31,starter,台南市
493,lindsayli@example.org,2023-11-06,starter,高雄
494,,2024-11-10,enterprise,台南
495,lisajames@example.org,2024-04-09,ENTERPRISE,新竹
496,lisagray@example.com,2024-08-21,enterprise,台南市
497,,2024-11-08,pro,台南
498,perryjason@example.com,2024年08月02日,pro,tainan
499,pnorris@example.com,2024年11月23日,pro,高雄
500,rharrington@example.com,2024/12/07,pro,新竹
